"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"21",21,1,"gap",6,"b","0","-","-",5464,"Non-Native",74,"High","Unambiguous",5464
"25",25,1,"gap",9,"a","0","-","-",8974,"Non-Native",74,"High","Ambiguous",8974
"35",35,1,"gap",2,"b","0","-","-",5680,"Non-Native",74,"High","Unambiguous",5680
"54",54,1,"gap",1,"a","0","-","-",16360,"Non-Native",74,"High","Ambiguous",16360
"72",72,1,"gap",12,"b","0","-","-",14210,"Non-Native",74,"High","Unambiguous",14210
"89",89,1,"gap",4,"b","0","-","-",12249,"Non-Native",74,"High","Unambiguous",12249
"101",101,1,"gap",7,"a","0","-","-",10309,"Non-Native",74,"High","Ambiguous",10309
"106",106,1,"gap",3,"a","0","-","-",11482,"Non-Native",74,"High","Ambiguous",11482
"131",131,1,"gap",11,"a","0","-","-",7461,"Non-Native",74,"High","Ambiguous",7461
"138",138,1,"gap",10,"b","0","-","-",9382,"Non-Native",74,"High","Unambiguous",9382
"157",157,1,"gap",8,"b","0","-","-",6349,"Non-Native",74,"High","Unambiguous",6349
"172",172,1,"gap",5,"a","0","-","-",12634,"Non-Native",74,"High","Ambiguous",12634
"205",205,2,"gap",5,"b","0","-","-",6915,"Non-Native",71,"Low","Unambiguous",6915
"209",209,2,"gap",11,"b","0","-","-",6518,"Non-Native",71,"Low","Unambiguous",6518
"227",227,2,"gap",4,"a","0","-","-",7726,"Non-Native",71,"Low","Ambiguous",7726
"233",233,2,"gap",3,"b","0","-","-",17123,"Non-Native",71,"Low","Unambiguous",17123
"239",239,2,"gap",1,"b","0","-","-",9595,"Non-Native",71,"Low","Unambiguous",9595
"247",247,2,"gap",9,"b","0","-","-",10262,"Non-Native",71,"Low","Unambiguous",10262
"297",297,2,"gap",6,"a","0","-","-",5541,"Non-Native",71,"Low","Ambiguous",5541
"304",304,2,"gap",7,"b","0","-","-",7424,"Non-Native",71,"Low","Unambiguous",7424
"311",311,2,"gap",8,"a","0","-","-",4280,"Non-Native",71,"Low","Ambiguous",4280
"314",314,2,"gap",10,"a","0","-","-",6156,"Non-Native",71,"Low","Ambiguous",6156
"318",318,2,"gap",12,"a","0","-","-",6731,"Non-Native",71,"Low","Ambiguous",6731
